rep,beta,tau_hat,abs_bias,g0_gap,x_gap,tau_hat_NN,abs_bias_NN,g0_gap_NN,x_gap_NN,distance_to_NN,n,n_mcmc,mu,seed
1,0,0.9614442550856757,0.03855574491432434,0.01818657402719332,0.2984617941098768,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.07684445139577911,300,1000,0.3,12345
1,0.25,0.9692196323491127,0.03078036765088732,0.01787360260895496,0.29155202981008255,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.08461982865921613,300,1000,0.3,12345
1,0.5,0.9691389576977597,0.030861042302240294,0.017597298744060488,0.28398531113454095,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.08453915400786316,300,1000,0.3,12345
1,1,0.9729229597749989,0.027077040225001126,0.016870678031963942,0.26720577623113506,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.08832315608510233,300,1000,0.3,12345
1,2,0.9750735811316382,0.024926418868361777,0.015129472760947992,0.23046946455623715,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.09047377744174168,300,1000,0.3,12345
1,3,0.9794413180432138,0.02055868195678623,0.013684223255725374,0.19774903300710958,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.09484151435331722,300,1000,0.3,12345
1,4,0.9723945279472802,0.027605472052719793,0.01222067437336833,0.1675419844487124,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.08779472425738366,300,1000,0.3,12345
1,5,0.9642249476099494,0.03577505239005063,0.010978054266171757,0.14448337776719383,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.07962514392005282,300,1000,0.3,12345
1,8,0.9322509163308653,0.06774908366913468,0.008984602591349113,0.10498078370579987,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.047651112640968774,300,1000,0.3,12345
1,10,0.9130286249773266,0.08697137502267338,0.008260441586549578,0.0927503877180649,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.028428821287430073,300,1000,0.3,12345
1,15,0.88449543174486,0.11550456825514,0.007456772581056862,0.07986106643893531,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.00010437194503654101,300,1000,0.3,12345
1,20,0.8760023045338406,0.12399769546615935,0.007310337251572953,0.07758964482118377,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.008597499156055899,300,1000,0.3,12345
1,30,0.8604601282922127,0.13953987170778726,0.0072145713032221595,0.07649332749184043,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.024139675397683802,300,1000,0.3,12345
1,50,0.8519869173480102,0.14801308265198976,0.007407515565854104,0.07915453736342108,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.032612886341886305,300,1000,0.3,12345
1,75,0.8527639553798897,0.1472360446201103,0.007622184595977559,0.08219874475840988,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.03183584831000685,300,1000,0.3,12345
1,100,0.8570608261544426,0.14293917384555743,0.007713972045244075,0.08339541655916637,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.02753897753545398,300,1000,0.3,12345
1,150,0.8649153568067637,0.13508464319323632,0.0077787554474075165,0.08442738639776698,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.019684446883132867,300,1000,0.3,12345
1,200,0.8707480820921188,0.12925191790788115,0.007749325951606512,0.08433148432765616,0.8845998036898965,0.11540019631010345,0.007680804738975372,0.08461516866262632,0.0138517215977777,300,1000,0.3,12345
2,0,0.9651263541289424,0.03487364587105757,0.01677793504721128,0.24249333347958793,1.1335539562610537,0.1335539562610537,0.003030601086963042,0.02899753666622951,0.16842760213211128,300,1000,0.3,12345
2,0.25,0.9655298107461396,0.03447018925386036,0.01664089939592194,0.238017942168648,1.1335539562610537,0.1335539562610537,0.003030601086963042,0.02899753666622951,0.16802414551491407,300,1000,0.3,12345
2,0.5,0.9633963354663441,0.03660366453365593,0.016524010685604034,0.2322722973194389,1.1335539562610537,0.1335539562610537,0.003030601086963042,0.02899753666622951,0.17015762079470964,300,1000,0.3,12345
2,1,0.961894071338848,0.03810592866115203,0.01606353932911333,0.2197148073024372,1.1335539562610537,0.1335539562610537,0.003030601086963042,0.02899753666622951,0.17165988492220574,300,1000,0.3,12345
2,2,0.9520563987601595,0.04794360123984054,0.01475222886947072,0.1905621734682941,1.1335539562610537,0.1335539562610537,0.003030601086963042,0.02899753666622951,0.18149755750089425,300,1000,0.3,12345
2,3,0.938194004876574,0.061805995123425994,0.013041759924331904,0.16212069316389977,1.1335539562610537,0.1335539562610537,0.003030601086963042,0.02899753666622951,0.1953599513844797,300,1000,0.3,12345
2,4,0.9353873177443851,0.0646126822556149,0.010928741767259153,0.1304972221725448,1.1335539562610537,0.1335539562610537,0.003030601086963042,0.02899753666622951,0.1981666385166686,300,1000,0.3,12345
2,5,0.9353960070892974,0.06460399291070262,0.0093288804730822,0.10735103163887542,1.1335539562610537,0.1335539562610537,0.003030601086963042,0.02899753666622951,0.19815794917175633,300,1000,0.3,12345
2,8,0.9648417272368459,0.035158272763154086,0.0062366120091693926,0.06878201324930945,1.1335539562610537,0.1335539562610537,0.003030601086963042,0.02899753666622951,0.1687122290242078,300,1000,0.3,12345
2,10,0.9802521158362246,0.019747884163775375,0.004898450859328489,0.052594354169988755,1.1335539562610537,0.1335539562610537,0.003030601086963042,0.02899753666622951,0.15330184042482908,300,1000,0.3,12345
2,15,1.0201079897461809,0.020107989746180888,0.0037077988878630643,0.038652272959345715,1.1335539562610537,0.1335539562610537,0.003030601086963042,0.02899753666622951,0.11344596651487282,300,1000,0.3,12345
